fastqs,sample,library_type
/mnt/europa/drighelli/multiome_cancer,SRR21960687,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR21960688,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR22482677,Chromatin Accessibility
/mnt/europa/drighelli/multiome_cancer,SRR22482678,Chromatin Accessibility
