fastqs,sample,library_type
/mnt/europa/drighelli/multiome_cancer,SRR21960683,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR21960684,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR22482673,Chromatin Accessibility
/mnt/europa/drighelli/multiome_cancer,SRR22482674,Chromatin Accessibility
