fastqs,sample,library_type
/mnt/europa/drighelli/multiome_cancer,SRR21960685,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR21960686,Gene Expression
/mnt/europa/drighelli/multiome_cancer,SRR22482675,Chromatin Accessibility
/mnt/europa/drighelli/multiome_cancer,SRR22482676,Chromatin Accessibility
